Date,Temperature
1653681237, 26000
1653681243, 26000
1653681249, 26000
1653681255, 26000
1653681261, 26000
1653681267, 26062
1653681272, 26000
1653681278, 26062
1653681284, 27125
1653681290, 27375
1653681296, 27562
1653681302, 27062
1653681307, 26750
1653681313, 26562
1653681319, 26437
1653681325, 26375
1653681331, 26312
1653681337, 26437
1653681343, 26812
1653681348, 26937
1653681354, 26812
1653681360, 26562
1653681366, 26437
1653681372, 26375
1653681378, 26312
1653681384, 26312
1653681389, 26250
1653681395, 26250
1653681401, 26250
1653681407, 26187
1653681413, 26187
1653681419, 26187
1653681424, 26187
1653681430, 26187
1653681436, 26187
1653681442, 25937
1653681448, 25312
1653681454, 24875
1653681460, 24562
1653681465, 24250
1653681471, 24125
1653681477, 24125
1653681483, 24000
1653681489, 23875
1653681495, 23750
1653681501, 23687
1653681506, 23562
1653681512, 23437
1653681518, 23250
1653681524, 23187
1653681530, 23187
1653681536, 23000
1653681542, 23000
1653681547, 22937
1653681553, 22937
1653681559, 23000
1653681565, 23125
1653681571, 23250
1653681577, 23187
1653681582, 22937
1653681588, 22812
1653681594, 22750
1653681600, 22812
1653681606, 22750
1653681612, 22625
1653681618, 22562
1653681623, 22562
1653681629, 22437
1653681635, 22625
1653681641, 22625
1653681647, 22562
1653681653, 22750
1653681659, 22875
1653681664, 23000
1653681670, 22937
1653681676, 22937
1653681682, 22812
1653681688, 22625
1653681694, 22562
1653681700, 22375
1653681705, 22375
1653681711, 22312
1653681717, 22250
1653681723, 22250
1653681729, 22375
1653681735, 22375
1653681740, 22500
1653681746, 22500
1653681752, 22375
1653681758, 22375
1653681764, 22312
1653681770, 22250
1653681776, 22250
1653681781, 22187
1653681787, 22375
1653681793, 22437
1653681799, 22500
1653681805, 22562
1653681811, 22437
1653681817, 22250
1653681822, 22125
1653681828, 22062
1653681834, 22000
1653681840, 22000
1653681846, 22125
1653681852, 22062
1653681858, 22125
1653681863, 22125
1653681869, 22062
1653681875, 22062
1653681881, 21937
1653681887, 21937
1653681893, 22000
1653681898, 22062
1653681904, 22062
1653681910, 22062
1653681916, 22000
1653681922, 21937
1653681928, 21937
1653681934, 22000
1653681939, 22000
1653681945, 21875
1653681951, 22000
1653681957, 22312
1653681963, 22562
1653681969, 22687
1653681975, 22812
1653681980, 22937
1653681986, 23062
1653681992, 23125
1653681998, 23187
1653682004, 23250
1653682010, 23312
1653682015, 23375
1653682021, 23437
1653682027, 23500
1653682033, 23562
1653682039, 23625
1653682045, 23625
1653682051, 23687
1653682056, 23687
1653682062, 23750
1653682068, 23812
1653682074, 23812
1653682080, 23875
1653682086, 23875
1653682091, 23937
1653682097, 23937
1653682103, 24000
1653682109, 24000
1653682115, 24062
1653682121, 24062
1653682127, 24062
1653682132, 24125
1653682138, 24125
1653682144, 24187
1653682150, 24187
1653682156, 24187
1653682162, 24187
1653682168, 24250
1653682173, 24250
1653682179, 24312
1653682185, 24312
1653682191, 24312
1653682197, 24312
1653682203, 24375
1653682209, 24375
1653682214, 24375
1653682220, 24437
1653682226, 24437
1653682232, 24437
1653682238, 24437
1653682244, 24437
1653682249, 24500
1653682255, 24500
1653682261, 24500
1653682267, 24500
1653682273, 24500
1653682279, 24500
1653682285, 24562
1653682290, 24562
1653682296, 24562
1653682302, 24562
1653682308, 24625
1653682314, 24625
1653682320, 24625
1653682326, 24625
1653682331, 24625
1653682337, 24625
1653682343, 24625
1653682349, 24625
1653682355, 24687
1653682361, 24687
1653682367, 24687
1653682372, 24687
1653682378, 24687
1653682384, 24687
1653682390, 24687
1653682396, 24687
1653682402, 24750
1653682407, 24750
1653682413, 24750
1653682419, 24750
1653682425, 24812
1653682431, 24812
1653682437, 24812
1653682443, 24812
1653682448, 24812
1653682454, 24812
1653682460, 24875
1653682466, 24875
1653682472, 24812
1653682478, 24875
1653682484, 24875
1653682489, 24875
1653682495, 24937
1653682501, 24937
1653682507, 24937
1653682513, 24937
1653682519, 24937
1653682525, 24937
1653682530, 24937
1653682536, 24937
1653682542, 24937
1653682548, 24937
1653682554, 24937
1653682560, 24937
1653682565, 25000
1653682571, 25000
1653682577, 25000
1653682583, 25000
1653682589, 25000
1653682595, 25000
1653682601, 25000
1653682606, 25000
1653682612, 25000
1653682618, 25000
1653682624, 25000
1653682630, 25000
1653682636, 25000
1653682642, 25000
1653682647, 25000
1653682653, 25000
1653682659, 25000
1653682665, 25000
1653682671, 25000
1653682677, 25062
1653682683, 25062
1653682688, 25062
1653682694, 25062
1653682700, 25062
1653682706, 25062
1653682712, 25062
1653682718, 25062
1653682723, 25062
1653682729, 25062
1653682735, 25062
1653682741, 25062
1653682747, 25062
1653682753, 25062
1653682759, 25062
1653682764, 25062
1653682770, 25062
1653682776, 25062
1653682782, 25062
1653682788, 25125
1653682794, 25125
1653682800, 25125
1653682805, 25125
1653682811, 25125
1653682817, 25125
1653682823, 25125
1653682829, 25125
1653682835, 25125
1653682841, 25125
1653682846, 25125
1653682852, 25125
1653682858, 25125
1653682864, 25187
1653682870, 25187
1653682876, 25187
1653682881, 25187
1653682887, 25187
1653682893, 25187
1653682899, 25125
1653682905, 25187
1653682911, 25187
1653682917, 25187
1653682922, 25187
1653682928, 25187
1653682934, 25250
1653686054, 26312
1653686060, 26312
1653686066, 26312
1653686071, 26312
1653686077, 26312
1653686083, 26312
1653686089, 26250
1653686095, 26250
1653686101, 26250
1653686106, 26250
1653686112, 26250
1653686118, 26250
1653686124, 26250
1653686130, 26250
1653686136, 26250
1653686142, 26250
1653686147, 26250
1653686153, 26187
1653686159, 26187
1653686165, 26187
1653686171, 26187
1653686177, 26125
1653686182, 26062
1653686188, 25937
1653686194, 25937
1653686200, 25875
1653686206, 25750
1653686212, 25750
1653686217, 25750
1653686223, 25750
1653686229, 25750
1653686235, 25687
1653686241, 25625
1653686247, 25562
1653686252, 25625
1653686258, 25625
1653686264, 25625
1653686270, 25687
1653686276, 25687
1653686282, 25750
1653686288, 25750
1653686293, 25750
1653686299, 25812
1653686305, 25812
1653686311, 25812
1653686317, 25812
1653686323, 25812
1653686328, 25812
1653686334, 25812
1653686340, 25875
1653686346, 25875
1653686352, 25875
1653686358, 25875
1653686364, 25875
1653686369, 25875
1653686375, 25875
