Date,Temperature
1653688803, 25812
1653688809, 25812
1653688815, 25812
1653688821, 25812
1653688826, 25812
1653688832, 25750
1653688838, 25812
1653688844, 25812
1653688850, 25750
1653688856, 25750
1653688862, 25750
1653688867, 25812
1653688873, 25750
1653688879, 25812
1653688885, 25812
1653688891, 25812
1653688897, 25750
1653688903, 25812
1653688908, 25812
1653688914, 25750
1653688920, 25750
1653688926, 25750
1653688932, 25750
1653688938, 25750
1653688943, 25750
1653688949, 25812
1653688955, 25750
1653688961, 25750
1653688967, 25750
1653688973, 25750
1653688979, 25750
1653688984, 25750
1653688990, 25750
1653688996, 25812
1653689002, 25812
1653689008, 25750
1653689014, 25750
1653689020, 25812
1653689025, 25812
1653689031, 25750
1653689037, 25750
1653689043, 25750
1653689049, 25812
1653689055, 25812
1653689061, 25812
1653689066, 25812
1653689072, 25812
1653689078, 25812
1653689084, 25812
1653689090, 25812
1653689096, 25812
1653689101, 25812
1653689107, 25750
1653689113, 25812
1653689119, 25812
1653689125, 25812
1653689131, 25812
1653689137, 25812
1653689142, 25812
1653689148, 25812
1653689154, 25812
1653689160, 25812
1653689166, 25750
1653689172, 25812
1653689177, 25812
1653689183, 25812
1653689189, 25750
1653689195, 25812
1653689201, 25812
1653689207, 25750
1653689213, 25750
1653689218, 25750
1653689224, 25750
1653689230, 25750
1653689236, 25750
1653689242, 25750
1653689248, 25750
1653689254, 25750
1653689259, 25750
1653689265, 25750
1653689271, 25750
1653689277, 25750
1653689283, 25750
1653689289, 25750
1653689295, 25750
1653689300, 25750
1653689306, 25750
1653689312, 25750
1653689318, 25750
1653689324, 25750
1653689330, 25750
1653689335, 25750
1653689341, 25750
1653689347, 25750
1653689353, 25750
1653689359, 25750
1653689365, 25750
1653689371, 25750
1653689376, 25750
1653689382, 25750
1653689388, 25750
1653689394, 25750
1653689400, 25750
1653689406, 25812
1653689412, 25750
1653689417, 25750
1653689423, 25750
1653689429, 25812
1653689435, 25812
1653689441, 25750
1653689447, 25750
1653689453, 25750
1653689458, 25750
1653689464, 25750
1653689470, 25750
1653689476, 25750
1653689482, 25750
1653689488, 25750
1653689493, 25750
1653689499, 25750
1653689505, 25750
1653689511, 25750
1653689517, 25750
1653689523, 25750
1653689529, 25750
1653689534, 25750
1653689540, 25812
1653689546, 25812
1653689552, 25812
1653689558, 25812
1653689564, 25812
1653689570, 25750
1653689575, 25750
1653689581, 25750
1653689587, 25750
1653689593, 25750
1653689599, 25750
1653689605, 25750
1653689611, 25750
1653689616, 25750
1653689622, 25750
1653689628, 25750
1653689634, 25750
1653689640, 25750
1653689646, 25750
